epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0917,1.03291,2.91507,1.38947,0.00351,1,0.22767,0.07894,0.98867,3.76221,1.35378,3.334e-05,3.334e-05,3.334e-05
2,26.8563,0.8143,2.85312,1.26744,0.00335,1,0.24575,0.13205,0.58975,3.55992,1.11993,8.16997e-05,8.16997e-05,8.16997e-05
3,41.3177,0.39962,2.63368,1.07051,0.00333,1,0.44577,0.36407,0.31505,3.45719,0.83798,0.000128079,0.000128079,0.000128079
4,55.1371,0.30939,2.45363,1.05106,0.00344,1,0.53053,0.46762,0.26301,3.3905,0.73085,0.000172478,0.000172478,0.000172478
5,69.1421,0.28472,2.12907,0.97065,0.00366,1,0.56721,0.47492,0.32018,3.32543,0.75688,0.000214896,0.000214896,0.000214896
6,82.3061,0.25851,1.87512,0.97765,0.00364,1,0.62647,0.507,0.34442,3.25172,0.78753,0.000255334,0.000255334,0.000255334
7,95.5679,0.26449,1.63692,0.91137,0.00346,1,0.68961,0.50493,0.3247,3.2253,0.82695,0.000293792,0.000293792,0.000293792
8,109.698,0.32995,1.51638,0.88911,0.00344,1,0.78104,0.56725,0.32389,3.24144,0.86092,0.000330269,0.000330269,0.000330269
9,123.103,0.25898,1.52516,1.01471,0.00342,1,0.67746,0.60805,0.52953,3.35005,0.98633,0.000364766,0.000364766,0.000364766
10,135.711,0.26145,1.33345,0.95284,0.85055,0.42784,0.7088,0.65042,0.50022,3.27969,0.9637,0.000397283,0.000397283,0.000397283
11,149.253,0.25561,1.42187,0.96054,0.96589,0.75089,0.88167,0.83822,0.40705,2.82928,0.86208,0.000427819,0.000427819,0.000427819
12,162.127,0.37437,1.37263,1.06236,0.69405,0.83742,0.8569,0.84425,0.38096,2.38351,0.81631,0.000456375,0.000456375,0.000456375
13,175.549,0.23659,1.04083,0.9016,0.9576,0.85912,0.96643,0.93087,0.31622,1.89875,0.72234,0.00048295,0.00048295,0.00048295
14,188.202,0.27344,1.05774,0.93865,1,0.78607,0.92524,0.89053,0.34,2.01797,0.75211,0.000507545,0.000507545,0.000507545
15,202.748,0.26207,0.96551,0.93754,0.99601,0.89126,0.97833,0.93453,0.37557,1.84387,0.78255,0.000530159,0.000530159,0.000530159
