epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.71926,1.43022,3.75648,1.5463,0.19029,0.5,0.27519,0.14452,1.14697,3.76713,1.54257,0,0,0
2,12.9716,1.42395,3.5008,1.5895,0.15425,0.5,0.54148,0.28114,1.14978,3.82783,1.52397,1.61199e-05,1.61199e-05,1.61199e-05
3,18.8993,1.22464,2.86683,1.60812,0.3322,0.75,0.45179,0.1959,1.1024,3.97226,1.47923,3.11396e-05,3.11396e-05,3.11396e-05
4,24.6138,1.08035,2.37843,1.29399,0.26486,0.25,0.43042,0.24307,1.03049,4.47949,1.41194,4.5059e-05,4.5059e-05,4.5059e-05
5,30.4664,0.79362,2.11774,1.22418,0.29349,0.25,0.38067,0.24143,0.93643,5.36002,1.38105,5.78782e-05,5.78782e-05,5.78782e-05
6,36.4903,0.50873,1.8506,1.0588,0.20007,0.25,0.22452,0.18414,0.8716,6.13414,1.40126,6.95973e-05,6.95973e-05,6.95973e-05
7,42.4166,0.47867,1.91072,1.04701,0.16975,0.25,0.21895,0.14444,0.84917,6.84848,1.41177,8.0216e-05,8.0216e-05,8.0216e-05
8,48.4265,0.60264,2.01033,1.13214,0.13565,1,0.20028,0.10375,0.80722,7.6364,1.25356,8.97346e-05,8.97346e-05,8.97346e-05
9,54.4641,0.4164,1.49333,1.05601,0.22155,0.889,0.30658,0.14188,0.8484,7.95602,1.10544,9.8153e-05,9.8153e-05,9.8153e-05
10,60.5843,0.44993,1.67722,1.07243,0.17377,0.75,0.2369,0.09477,0.77912,7.288,0.98669,0.000105471,0.000105471,0.000105471
11,66.7194,0.24773,1.30426,0.95553,0.18246,0.75,0.225,0.12511,0.79251,7.33991,0.9945,0.000111689,0.000111689,0.000111689
12,72.6236,0.36123,1.11776,0.97653,0.21383,0.73799,0.26917,0.17972,0.89976,6.69532,0.99602,0.000116807,0.000116807,0.000116807
13,78.5621,0.24844,1.02385,0.9616,0.31274,0.97211,0.45542,0.32486,0.87269,6.41484,0.96366,0.000120824,0.000120824,0.000120824
14,84.5946,0.22687,0.88851,0.97778,0.35496,0.70653,0.51333,0.34047,0.69797,6.31573,0.923,0.000123741,0.000123741,0.000123741
15,90.7148,0.2982,1.07017,0.98952,0.31837,0.75,0.42188,0.30272,0.73419,5.79394,0.982,0.000125558,0.000125558,0.000125558
16,96.9336,0.2222,0.79644,0.89385,0.25144,0.72614,0.34723,0.28097,0.94159,5.81917,1.10822,0.000126275,0.000126275,0.000126275
17,102.772,0.27013,0.78751,0.85182,0.18633,0.75,0.30993,0.27997,0.97896,6.95018,1.1167,0.000125892,0.000125892,0.000125892
18,108.57,0.21957,0.84556,0.99277,0.18633,0.75,0.30993,0.27997,0.97896,6.95018,1.1167,0.000124408,0.000124408,0.000124408
19,114.451,0.19641,0.81519,0.87713,0.22456,0.69164,0.30993,0.27948,0.61424,7.40823,0.90688,0.000121824,0.000121824,0.000121824
20,120.173,0.28686,0.76583,0.96404,0.22456,0.69164,0.30993,0.27948,0.61424,7.40823,0.90688,0.00011814,0.00011814,0.00011814
21,126.169,0.30605,2.16629,0.92759,0.24964,0.25,0.26049,0.25667,0.45655,5.96638,0.86594,0.000113356,0.000113356,0.000113356
22,132.273,0.34034,1.95409,0.96915,0.24964,0.25,0.26049,0.25667,0.45655,5.96638,0.86594,0.000107471,0.000107471,0.000107471
23,140.051,0.4152,1.85619,1.02676,0.43421,0.25,0.25768,0.25434,0.42756,4.76946,0.87486,0.000100487,0.000100487,0.000100487
24,149.279,0.25743,1.54023,0.93603,0.43421,0.25,0.25768,0.25434,0.42756,4.76946,0.87486,9.24018e-05,9.24018e-05,9.24018e-05
25,158.788,0.25535,1.57671,0.96665,0.4578,0.25,0.2615,0.25621,0.41522,4.11683,0.84885,8.32166e-05,8.32166e-05,8.32166e-05
26,168.565,0.25712,1.57412,0.93674,0.4578,0.25,0.2615,0.25621,0.41522,4.11683,0.84885,7.29312e-05,7.29312e-05,7.29312e-05
27,178.696,0.53392,1.88372,1.1932,0.46608,0.25,0.27231,0.26329,0.39206,3.80025,0.82928,6.15456e-05,6.15456e-05,6.15456e-05
28,189.067,0.23282,1.49886,0.96661,0.46608,0.25,0.27231,0.26329,0.39206,3.80025,0.82928,4.90598e-05,4.90598e-05,4.90598e-05
29,200.312,0.23338,1.62971,1.01584,0.46985,0.25,0.28108,0.27173,0.38587,3.63384,0.80024,3.54738e-05,3.54738e-05,3.54738e-05
30,209.606,0.21269,1.37439,0.87251,0.46985,0.25,0.28108,0.27173,0.38587,3.63384,0.80024,2.07875e-05,2.07875e-05,2.07875e-05
